model,framework,query_idx,final_pass,delivered,artifact_delivered,official_delivered,tokens,cost_usd,runtime_seconds,failure_reason
deepseek,stigmergiagentic_c3,90,False,False,True,False,15359,0.0036964000000000003,0.0,ok
deepseek,stigmergiagentic_c3,91,False,False,True,False,17458,0.00405304,0.0,ok
deepseek,stigmergiagentic_c3,92,False,False,True,False,15030,0.0036373200000000003,0.0,ok
deepseek,stigmergiagentic_c3,93,True,True,True,True,15506,0.0034046000000000002,0.0,ok
deepseek,stigmergiagentic_c3,94,False,False,True,False,14613,0.0033170000000000005,0.0,ok
deepseek,stigmergiagentic_c3,95,False,False,True,False,14878,0.00330734,0.0,ok
deepseek,stigmergiagentic_c3,96,False,False,True,False,14942,0.0032193400000000002,0.0,ok
deepseek,stigmergiagentic_c3,97,False,False,True,False,15454,0.0033789400000000004,0.0,ok
deepseek,stigmergiagentic_c3,98,True,True,True,True,15065,0.00332642,0.0,ok
deepseek,stigmergiagentic_c3,99,False,True,True,True,29739,0.007321600000000001,0.0,ok
deepseek,stigmergiagentic_c3,100,False,False,True,False,18409,0.004718740000000001,0.0,ok
deepseek,stigmergiagentic_c3,101,False,False,True,False,17776,0.0045612,0.0,ok
deepseek,stigmergiagentic_c3,102,False,False,True,False,18262,0.00459356,0.0,ok
deepseek,stigmergiagentic_c3,103,False,False,True,False,17880,0.00474034,0.0,ok
deepseek,stigmergiagentic_c3,104,False,False,True,False,19135,0.0043828,0.0,ok
deepseek,stigmergiagentic_c3,105,False,False,True,False,19024,0.00470258,0.0,ok
deepseek,stigmergiagentic_c3,106,False,False,True,False,18850,0.0047691800000000005,0.0,ok
deepseek,stigmergiagentic_c3,107,False,False,True,False,19814,0.0049382,0.0,ok
deepseek,stigmergiagentic_c3,108,False,False,True,False,20614,0.00462058,0.0,ok
deepseek,stigmergiagentic_c3,109,True,True,True,True,42810,0.01017226,0.0,ok
deepseek,stigmergiagentic_c3,110,True,True,True,True,19012,0.0043267,0.0,ok
deepseek,stigmergiagentic_c3,111,True,True,True,True,19859,0.0049960000000000004,0.0,ok
deepseek,stigmergiagentic_c3,112,False,False,True,False,18867,0.00481064,0.0,ok
deepseek,stigmergiagentic_c3,113,False,False,True,False,21060,0.00487144,0.0,ok
deepseek,stigmergiagentic_c3,114,True,True,True,True,21945,0.00497728,0.0,ok
deepseek,stigmergiagentic_c3,115,False,False,True,False,20226,0.00495674,0.0,ok
deepseek,stigmergiagentic_c3,116,False,False,True,False,20888,0.00505654,0.0,ok
deepseek,stigmergiagentic_c3,117,False,False,True,False,18155,0.00446756,0.0,ok
deepseek,stigmergiagentic_c3,118,False,False,True,False,19358,0.00473112,0.0,ok
deepseek,stigmergiagentic_c3,119,False,False,True,False,19185,0.0048415,0.0,ok
deepseek,stigmergiagentic_c3,120,False,True,True,True,17170,0.00418938,0.0,ok
deepseek,stigmergiagentic_c3,121,True,True,True,True,15114,0.00394772,0.0,ok
deepseek,stigmergiagentic_c3,122,False,True,True,True,20890,0.004799340000000001,0.0,ok
deepseek,stigmergiagentic_c3,123,False,True,True,True,21587,0.005027279999999999,0.0,ok
deepseek,stigmergiagentic_c3,124,False,True,True,True,24324,0.00539254,0.0,ok
deepseek,stigmergiagentic_c3,125,False,True,True,True,19147,0.00440632,0.0,ok
deepseek,stigmergiagentic_c3,126,True,True,True,True,9695,0.0022691,0.0,ok
deepseek,stigmergiagentic_c3,127,False,True,True,True,23306,0.005473100000000001,0.0,ok
deepseek,stigmergiagentic_c3,128,False,True,True,True,19495,0.004570960000000001,0.0,ok
deepseek,stigmergiagentic_c3,129,False,True,True,True,18532,0.00395618,0.0,ok
deepseek,stigmergiagentic_c3,130,False,True,True,True,23613,0.0048994,0.0,ok
deepseek,stigmergiagentic_c3,131,False,True,True,True,22812,0.005032140000000001,0.0,ok
deepseek,stigmergiagentic_c3,132,True,True,True,True,11688,0.0023745400000000005,0.0,ok
deepseek,stigmergiagentic_c3,133,False,True,True,True,22363,0.00435068,0.0,ok
deepseek,stigmergiagentic_c3,134,False,True,True,True,22422,0.005056060000000001,0.0,ok
deepseek,stigmergiagentic_c3,135,False,True,True,True,23290,0.0052639,0.0,ok
deepseek,stigmergiagentic_c3,136,False,True,True,True,20424,0.00462394,0.0,ok
